title	year	trailer_duration	actors	awards	box_office	country	director	dvd_release	genre	imdb_id	imdb_type	imdb_votes	language	long_plot	movie_runtime	poster	production	rated	rating	release_date	short_plot	video_id	writer	youtube_comment	youtube_dislike	youtube_favorite	youtube_like	youtube_link	youtube_view
Dark Waters	2019	155.0	Anne Hathaway, Tim Robbins, William Jackson Harper, Mark Ruffalo			USA	Todd Haynes		Biography, Drama, History	tt9071322	movie		English	A corporate defense attorney takes on an environmental lawsuit against a chemical company that exposes a lengthy history of pollution.		https://m.media-amazon.com/images/M/MV5BODQ0M2Y5M2QtZGIwMC00MzJjLThlMzYtNmE3ZTMzZTYzOGEwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg		PG-13		22 Nov 2019	A corporate defense attorney takes on an environmental lawsuit against a chemical company that exposes a lengthy history of pollution.	jvQUIt0BWcU	Matthew Michael Carnahan (earlier screenplay), Mario Correa (screenplay), Nathaniel Rich (magazine article)	509.0	136.0	0.0	5776.0	www.youtube.com/watch/jvQUIt0BWcU	341580.0
In the Tall Grass	2019	150.0	Laysla De Oliveira, Avery Whitted, Patrick Wilson, Will Buie Jr.			Canada	Vincenzo Natali	04 Oct 2019	Drama, Horror, Thriller	tt4687108	movie	3418.0	English	After hearing a young boy's cry for help, a sister and brother venture into a vast field of tall grass in Kansas but soon discover there may be no way out...and that something evil lurks within.	101 min	https://m.media-amazon.com/images/M/MV5BN2M0NTJmMDAtNWI0ZC00MjdlLTlmYWEtMjNiMmJmOGRiNTEwXkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_SX300.jpg	Netflix	TV-MA	Internet Movie Database:5.7/10,Rotten Tomatoes:35%,Metacritic:46/100	04 Oct 2019	After hearing a young boy's cry for help, a sister and brother venture into a vast field of tall grass in Kansas but soon discover there may be no way out...and that something evil lurks within.	I5tEsyUyz-U	Vincenzo Natali, Stephen King (based on the novella by), Joe Hill (based on the novella by)	934.0	384.0	0.0	7683.0	www.youtube.com/watch/I5tEsyUyz-U	770856.0
Little Monsters	2019	105.0	Lupita Nyong'o, Josh Gad, Stephen Peacocke, Kat Stewart			UK, Australia, USA	Abe Forsythe	11 Oct 2019	Comedy, Horror	tt7390588	movie	533.0	English	A washed-up musician teams up with a teacher and a kids show personality to protect young children from a sudden outbreak of zombies.	93 min	https://m.media-amazon.com/images/M/MV5BMjkxMDIyNTAtYjgwZC00YmIwLWFmZTEtZTIzOWZhZjNiZDQwXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg	NEON/Hulu	R	Internet Movie Database:6.0/10,Rotten Tomatoes:87%,Metacritic:59/100	11 Oct 2019	A washed-up musician teams up with a teacher and a kids show personality to protect young children from a sudden outbreak of zombies.	HnH8Hqc5mn4	Abe Forsythe	170.0	347.0	0.0	1962.0	www.youtube.com/watch/HnH8Hqc5mn4	116404.0
Last Christmas	2019	192.0	Emilia Clarke, Emma Thompson, Henry Golding, Michelle Yeoh			UK, USA	Paul Feig		Comedy, Drama, Romance	tt8623904	movie		English	Kate is a young woman subscribed to bad decisions. Her last date with disaster? That of having accepted to work as Santa's elf for a department store. However, she meets Tom there. Her life takes a new turn. For Kate, it seems too good to be true.	102 min	https://m.media-amazon.com/images/M/MV5BNTQ4ZmY0NjgtYzVhNy00NzhiLTk3YTYtNzM1MTdjM2VhZDA3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg	Universal Pictures	PG-13		08 Nov 2019	Kate is a young woman subscribed to bad decisions. Her last date with disaster? That of having accepted to work as Santa's elf for a department store. However, she meets Tom there. Her life takes a new turn. For Kate, it seems too good to be true.	MneQ4hAwsBI	Emma Thompson (story by), Greg Wise (story by), Emma Thompson (screenplay by), Bryony Kimmings (screenplay)	138.0	154.0	0.0	1889.0	www.youtube.com/watch/MneQ4hAwsBI	128325.0
Midway	2019	155.0	Patrick Wilson, Luke Evans, Woody Harrelson, Dennis Quaid			China, USA	Roland Emmerich		Action, Drama, History, War	tt6924650	movie		English	The story of the Battle of Midway, told by the leaders and the sailors who fought it.	138 min	https://m.media-amazon.com/images/M/MV5BMGVkNGMyMGEtMDNmOC00ZGYyLWEzOTItODdjMzRlZTk4MzUwXkEyXkFqcGdeQXVyODM2Njg2OTg@._V1_SX300.jpg		PG-13		08 Nov 2019	The story of the Battle of Midway, told by the leaders and the sailors who fought it.	BfTYY_pac8o	Wes Tooke	2132.0	1220.0	0.0	10281.0	www.youtube.com/watch/BfTYY_pac8o	989023.0
Countdown	2019	155.0	Darren O'Brien, Chip Davison, Grace E Gonzalez, Korin O'Brien			USA	Ruairi O'Brien		Short, Comedy	tt10293412	movie		English		9 min	https://m.media-amazon.com/images/M/MV5BN2RmMThlOTYtNzI0ZS00NTNmLTg4MTQtMzE3MDNhMzYxMTM1XkEyXkFqcGdeQXVyOTM2ODAzNTU@._V1_SX300.jpg						pqvWtC2ae3M	Anthony Duplantis (story), Lewis Edwards (story), Ruairi O'Brien	1724.0	942.0	0.0	14289.0	www.youtube.com/watch/pqvWtC2ae3M	1001791.0
Doctor Sleep	2019	155.0	Rebecca Ferguson, Ewan McGregor, Jacob Tremblay, Cliff Curtis			USA	Mike Flanagan		Horror	tt5606664	movie		English	"Years following the events of ""The Shining,"" a now-adult Dan Torrance meets a young girl with similar powers as his and tries to protect her from a cult known as The True Knot who prey on children with powers to remain immortal."		https://m.media-amazon.com/images/M/MV5BMzQ5MjA0ZTAtYzhkYy00NTlmLWE4YTgtMTA2ZTE5NjRjNDA2XkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_SX300.jpg	Warner Bros. Pictures	R		08 Nov 2019	"Years following the events of ""The Shining,"" a now-adult Dan Torrance meets a young girl with similar powers as his and tries to protect her from a cult known as The True Knot who prey on children with powers to remain immortal."	eFkmiAw5Av8	Stephen King (based on the novel by), Mike Flanagan	827.0	371.0	0.0	5926.0	www.youtube.com/watch/eFkmiAw5Av8	454311.0
Black Christmas	2019	161.0	Cary Elwes, Imogen Poots, Aleyse Shannon, Brittany O'Grady			USA	Sophia Takal		Horror, Mystery, Thriller	tt10481868	movie		English	A group of students are stalked by a stranger during their Christmas break. A remake of the 1974 horror film 'Black Christmas'.		https://m.media-amazon.com/images/M/MV5BMDgyMDhhODEtMWJjOS00NmFjLWFhM2UtZmU1NjQxZWNhY2M3XkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_SX300.jpg				13 Dec 2019	A group of students are stalked by a stranger during their Christmas break. A remake of the 1974 horror film 'Black Christmas'.	DH-9_6Eg-qc	Sophia Takal, April Wolfe	1435.0	1676.0	0.0	5147.0	www.youtube.com/watch/DH-9_6Eg-qc	381108.0
Jexi	2019	154.0	Rose Byrne, Justin Hartley, Adam Devine, Alexandra Shipp			USA	Jon Lucas, Scott Moore		Comedy	tt9354944	movie		English	A comedy about what can happen when you love your phone more than anything else in your life.		https://m.media-amazon.com/images/M/MV5BYWM3OTk0NTItZjBlNi00NGE3LTk4MGQtODdlMWM2OWI5MWE3XkEyXkFqcGdeQXVyMTA2MDQ3MTQ3._V1_SX300.jpg	Lionsgate	R		11 Oct 2019	A comedy about what can happen when you love your phone more than anything else in your life.	txSOaY-je-o	Jon Lucas, Scott Moore	646.0	665.0	0.0	6043.0	www.youtube.com/watch/txSOaY-je-o	705807.0
Just Mercy	2019	155.0	Brie Larson, Michael B. Jordan, Jamie Foxx, Rafe Spall			USA	Destin Daniel Cretton		Drama	tt4916630	movie	329.0	English	Just Mercy shadows world-renowned civil rights defense attorney Bryan Stevenson as he recounts his experiences and details the case of a condemned death row prisoner whom he fought to free.	136 min	https://m.media-amazon.com/images/M/MV5BYmE5ODc5YzgtMDAyMi00YjYwLWE2ZWYtNzlhNjY5MTNlZDYyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg	Warner Bros.	PG-13	Internet Movie Database:5.7/10,Rotten Tomatoes:85%,Metacritic:65/100	10 Jan 2020	Just Mercy shadows world-renowned civil rights defense attorney Bryan Stevenson as he recounts his experiences and details the case of a condemned death row prisoner whom he fought to free.	MOHMKXT8Jy0	Destin Daniel Cretton (screenplay), Andrew Lanham (screenplay), Bryan Stevenson (memoir)	431.0	233.0	0.0	4325.0	www.youtube.com/watch/MOHMKXT8Jy0	176847.0
Jojo Rabbit	2019	148.0	Roman Griffin Davis, Thomasin McKenzie, Scarlett Johansson, Taika Waititi			Czech Republic, New Zealand, USA	Taika Waititi		Comedy, Drama, War	tt2584384	movie	1150.0	English	A young boy in Hitler's army finds out his mother is hiding a Jewish girl in their home.	108 min	https://m.media-amazon.com/images/M/MV5BZjU0Yzk2MzEtMjAzYy00MzY0LTg2YmItM2RkNzdkY2ZhN2JkXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_SX300.jpg	Fox Searchlight Pictures	PG-13	Internet Movie Database:7.1/10,Rotten Tomatoes:80%,Metacritic:52/100	18 Oct 2019	A young boy in Hitler's army finds out his mother is hiding a Jewish girl in their home.	ZkKaDXapi1o	Christine Leunens (novel), Taika Waititi (screenplay)	1456.0	903.0	0.0	23702.0	www.youtube.com/watch/ZkKaDXapi1o	925383.0
Terminator: Dark Fate	2019	161.0	Linda Hamilton, Arnold Schwarzenegger, Mackenzie Davis, Edward Furlong			China, USA	Tim Miller		Action, Adventure, Sci-Fi	tt6450804	movie		English	Sarah Connor and a hybrid cyborg human must protect a young girl from a newly modified liquid Terminator from the future.		https://m.media-amazon.com/images/M/MV5BNzhlYjE5MjMtZDJmYy00MGZmLTgwN2MtZGM0NTk2ZTczNmU5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg	Paramount Pictures			01 Nov 2019	Sarah Connor and a hybrid cyborg human must protect a young girl from a newly modified liquid Terminator from the future.	iyd0eYFl4eY	James Cameron (story by), Charles H. Eglee (story by), Josh Friedman (story by), David S. Goyer (story by), Justin Rhodes (story by), David S. Goyer (screenplay by), Justin Rhodes (screenplay by), Billy Ray (screenplay by), James Cameron (based on characters created by), Gale Anne Hurd (based on characters created by)	2009.0	2289.0	0.0	11589.0	www.youtube.com/watch/iyd0eYFl4eY	708616.0
Joker	2019	155.0	Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy			USA, Canada	Todd Phillips		Crime, Drama, Thriller	tt7286456	movie	360218.0	English	"In Gotham City, mentally-troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: ""The Joker""."	122 min	https://m.media-amazon.com/images/M/MV5BNGVjNWI4ZGUtNzE0MS00YTJmLWE0ZDctN2ZiYTk2YmI3NTYyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg	Warner Bros. Pictures	R	Internet Movie Database:8.9/10,Rotten Tomatoes:68%,Metacritic:59/100	04 Oct 2019	"In Gotham City, mentally-troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: ""The Joker""."	rgXplohCw5o	Todd Phillips, Scott Silver, Bob Kane (based on characters created by), Bill Finger (based on characters created by), Jerry Robinson (based on characters created by)	5070.0	2944.0	0.0	116424.0	www.youtube.com/watch/rgXplohCw5o	8992463.0
The Laundromat	2019	110.0	Gary Oldman, Jeffrey Wright, Meryl Streep, Sharon Stone			USA	Steven Soderbergh	18 Oct 2019	Drama	tt5865326	movie	459.0	Russian, English, Mandarin, Spanish	A widow investigates an insurance fraud, chasing leads to a pair of Panama City law partners exploiting the world's financial system.	95 min	https://m.media-amazon.com/images/M/MV5BMGQ1MDgxMWMtMjMzNC00YmE4LWJhNjctNGU4ZDk3MWY0ZGFkXkEyXkFqcGdeQXVyMTM2Mzg4MA@@._V1_SX300.jpg	Netflix	R	Internet Movie Database:6.2/10,Rotten Tomatoes:42%,Metacritic:57/100	27 Sep 2019	A widow investigates an insurance fraud, chasing leads to a pair of Panama City law partners exploiting the world's financial system.	qBDFSK7futA	Jake Bernstein (book), Scott Z. Burns (screenplay)	126.0	128.0	0.0	2276.0	www.youtube.com/watch/qBDFSK7futA	160726.0
Lucy in the Sky	2019	160.0	Natalie Portman, Jon Hamm, Zazie Beetz, Dan Stevens			USA	Noah Hawley		Drama, Sci-Fi	tt4682804	movie	350.0	English	Astronaut Lucy Cola returns to Earth after a transcendent experience during a mission to space, and begins to lose touch with reality in a world that now seems too small.	124 min	https://m.media-amazon.com/images/M/MV5BNmEzMDkxYzItMjdiNC00YzA5LWJmYWMtMzc2Mjc1MTdjNDZiXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg	26 Keys Productions	R	Internet Movie Database:4.2/10,Rotten Tomatoes:23%,Metacritic:36/100	04 Oct 2019	Astronaut Lucy Cola returns to Earth after a transcendent experience during a mission to space, and begins to lose touch with reality in a world that now seems too small.	iB128dvVN-0	Brian C. Brown (story by), Elliott DiGuiseppi (story by), Noah Hawley (revisions by), Elliott DiGuiseppi, Brian C. Brown	148.0	187.0	0.0	1391.0	www.youtube.com/watch/iB128dvVN-0	177562.0
Lady and the Tramp	2019	95.0	Tessa Thompson, Sam Elliott, Justin Theroux, Benedict Wong			USA	Charlie Bean		Adventure, Comedy, Drama, Family, Musical, Romance	tt8096832	movie		English	CGI and live-action re-imagining of the 1955 Disney classic.		https://m.media-amazon.com/images/M/MV5BM2U3ZDBkYWUtNDY3Ny00OTliLTgxNTAtY2QwZTQxMmEwOTQ1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg		PG		12 Nov 2019	CGI and live-action re-imagining of the 1955 Disney classic.	v07NG-auIwI	Andrew Bujalski (screenplay by), Kari Granlund	2965.0	4599.0	0.0	13642.0	www.youtube.com/watch/v07NG-auIwI	917289.0
Motherless Brooklyn	2019	164.0	Bruce Willis, Edward Norton, Cherry Jones, Alec Baldwin			USA	Edward Norton		Crime, Drama	tt0385887	movie	982.0	English	Set against the backdrop of 1950s New York, Motherless Brooklyn follows Lionel Essrog, a lonely private detective afflicted with Tourette's Syndrome, as he ventures to solve the murder of his mentor and only friend, Frank Minna.	144 min	https://m.media-amazon.com/images/M/MV5BNzQ0Mjk1YjItNWI1Ny00NWE2LWFlYTAtYjViY2YzMTVlOGVmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg	Warner Bros. Pictures	R	Internet Movie Database:7.9/10,Rotten Tomatoes:63%,Metacritic:62/100	01 Nov 2019	Set against the backdrop of 1950s New York, Motherless Brooklyn follows Lionel Essrog, a lonely private detective afflicted with Tourette's Syndrome, as he ventures to solve the murder of his mentor and only friend, Frank Minna.	m-qoecMs_rg	Jonathan Lethem (based on the novel by), Edward Norton (screenplay)	454.0	153.0	0.0	5192.0	www.youtube.com/watch/m-qoecMs_rg	244278.0
Ad Astra	2019	156.0	Brad Pitt, Tommy Lee Jones, Ruth Negga, Donald Sutherland			USA	James Gray		Adventure, Drama, Mystery, Sci-Fi, Thriller	tt2935510	movie	52852.0	English, Japanese, Russian	Astronaut Roy McBride undertakes a mission across an unforgiving solar system to uncover the truth about his missing father and his doomed expedition that now, 30 years later, threatens the universe.	123 min	https://m.media-amazon.com/images/M/MV5BZTllZTdlOGEtZTBmMi00MGQ5LWFjN2MtOGEyZTliNGY1MzFiXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg	20th Century Fox	PG-13	Internet Movie Database:7.0/10,Rotten Tomatoes:83%,Metacritic:80/100	20 Sep 2019	Astronaut Roy McBride undertakes a mission across an unforgiving solar system to uncover the truth about his missing father and his doomed expedition that now, 30 years later, threatens the universe.	vK6Syms-X3w	James Gray, Ethan Gross	778.0	269.0	0.0	6499.0	www.youtube.com/watch/vK6Syms-X3w	803685.0
Rambo: Last Blood	2019	71.0	Sylvester Stallone, Paz Vega, Sergio Peris-Mencheta, Adriana Barraza			USA, Spain, Bulgaria	Adrian Grunberg		Action, Adventure, Thriller	tt1206885	movie	17078.0	English, Spanish	Rambo must confront his past and unearth his ruthless combat skills to exact revenge in a final mission.	89 min	https://m.media-amazon.com/images/M/MV5BNTAxZWM2OTgtOTQzOC00ZTI5LTgyYjktZTRhYWM4YWQxNWI0XkEyXkFqcGdeQXVyMjMwNDgzNjc@._V1_SX300.jpg		R	Internet Movie Database:6.8/10,Metacritic:26/100	20 Sep 2019	Rambo must confront his past and unearth his ruthless combat skills to exact revenge in a final mission.	vtejTSKBT1k	Matthew Cirulnick (screenplay by), Sylvester Stallone (screenplay by), Dan Gordon (story by), Sylvester Stallone (story by), David Morrell (based on the character created by)	573.0	213.0	0.0	5590.0	www.youtube.com/watch/vtejTSKBT1k	402817.0
Zeroville	2019	191.0	Joey King, James Franco, Seth Rogen, Megan Fox			USA	James Franco		Comedy, Drama	tt1881109	movie	176.0	English	A young actor arrives in Hollywood in 1969 during a transitional time in the Industry.	96 min	https://m.media-amazon.com/images/M/MV5BZWIyOWM4MTAtNThlYi00NTBiLWI4ZTUtZmE2MmFmNzQ0MWFjXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg	myCinema	R	Internet Movie Database:5.0/10,Rotten Tomatoes:26%,Metacritic:28/100	20 Sep 2019	A young actor arrives in Hollywood in 1969 during a transitional time in the Industry.	7fw72WrOrlA	Steve Erickson (novel), Paul Felten, Ian Olds	507.0	1026.0	0.0	3301.0	www.youtube.com/watch/7fw72WrOrlA	376348.0
Little Women	2019	158.0	Florence Pugh, Timothée Chalamet, Emma Watson, Saoirse Ronan			USA	Greta Gerwig		Drama, Romance	tt3281548	movie		English	Four sisters come of age in America in the aftermath of the Civil War.		https://m.media-amazon.com/images/M/MV5BMGVkNWNhNTctMDU3OS00Mjk1LTgwMWYtMzc3ZDVhNTEwNmE1XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg	Sony Pictures	PG		25 Dec 2019	Four sisters come of age in America in the aftermath of the Civil War.	2kUTUCg6_R0	Greta Gerwig, Louisa May Alcott (based on the novel by)	1172.0	400.0	0.0	14253.0	www.youtube.com/watch/2kUTUCg6_R0	599541.0
The Kill Team	2019	150.0	Alexander Skarsgård, Nat Wolff, Adam Long, Jonathan Whitesell			USA, Spain	Dan Krauss	25 Oct 2019	Action, Drama, Thriller	tt6196936	movie	81.0	English	A young American soldier in Afghanistan is disturbed by his commanding officer's behavior and is faced with a moral dilemma.	87 min	https://m.media-amazon.com/images/M/MV5BNTgxNmY2MDAtM2QzYS00MmNmLTk2NWYtNDA1NzRiOGM4MzQwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg	A24	R	Internet Movie Database:7.3/10,Rotten Tomatoes:100%,Metacritic:67/100	25 Oct 2019	A young American soldier in Afghanistan is disturbed by his commanding officer's behavior and is faced with a moral dilemma.	siEAt-e47wA	Dan Krauss	251.0	404.0	0.0	2811.0	www.youtube.com/watch/siEAt-e47wA	237433.0
A Hidden Life	2019	142.0	August Diehl, Valerie Pachner, Michael Nyqvist, Matthias Schoenaerts			Germany, USA	Terrence Malick		Biography, Drama, War	tt5827916	movie	429.0	English, German	The Austrian Blessed Franz Jägerstätter, a conscientious objector, refuses to fight for the Nazis in World War II.	173 min	https://m.media-amazon.com/images/M/MV5BMDk4OTU0ZjctMjhhYS00YmVlLThlMDAtMjU4YzhlN2IyYzI3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg	Fox Searchlight Pictures	PG-13	Internet Movie Database:7.3/10,Rotten Tomatoes:79%,Metacritic:76/100	13 Dec 2019	The Austrian Blessed Franz Jägerstätter, a conscientious objector, refuses to fight for the Nazis in World War II.	F8k3Xt280Ws	Terrence Malick	165.0	132.0	0.0	2364.0	www.youtube.com/watch/F8k3Xt280Ws	107939.0
Dolemite Is My Name	2019	185.0	Eddie Murphy, Kodi Smit-McPhee, Wesley Snipes, Keegan-Michael Key			USA	Craig Brewer	25 Oct 2019	Biography, Comedy, Drama	tt8526872	movie	297.0	English	Eddie Murphy portrays real-life legend Rudy Ray Moore, a comedy and rap pioneer who proved naysayers wrong when his hilarious, obscene, kung-fu fighting alter ego, Dolemite, became a 1970s Blaxploitation phenomenon.	118 min	https://m.media-amazon.com/images/M/MV5BMzFiYWQxYzgtOThmYi00ZmIwLWFlZWMtMzk2NTI2YTYzMjkyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg	Netflix	R	Internet Movie Database:6.5/10,Rotten Tomatoes:97%,Metacritic:74/100	04 Oct 2019	Eddie Murphy portrays real-life legend Rudy Ray Moore, a comedy and rap pioneer who proved naysayers wrong when his hilarious, obscene, kung-fu fighting alter ego, Dolemite, became a 1970s Blaxploitation phenomenon.	gLZk03rXpVc	Scott Alexander, Larry Karaszewski	636.0	282.0	0.0	6570.0	www.youtube.com/watch/gLZk03rXpVc	346761.0
The Addams Family	2019	164.0	Oscar Isaac, Charlize Theron, Chloë Grace Moretz, Finn Wolfhard			UK, Canada, USA	Greg Tiernan, Conrad Vernon		Animation, Comedy, Family, Fantasy, Horror	tt1620981	movie	1513.0	English	An animated version of Charles Addams' series of cartoons about a peculiar, ghoulish family.	87 min	https://m.media-amazon.com/images/M/MV5BODBjOTAzZmMtNGJkOC00M2M3LWI1MTctZjZlMzdiODBkMzc0XkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_SX300.jpg	United Artists Releasing	PG	Internet Movie Database:5.8/10,Rotten Tomatoes:41%,Metacritic:45/100	11 Oct 2019	An animated version of Charles Addams' series of cartoons about a peculiar, ghoulish family.	F7Ug863S8dQ	Matt Lieberman (screenplay by), Charles Addams (based on characters created by), Conrad Vernon (story by), Pamela Pettler (screenplay), Matt Lieberman (story), Erica Rivinoja (story by)	3503.0	3787.0	0.0	30926.0	www.youtube.com/watch/F7Ug863S8dQ	3283847.0
1917	2019	122.0	Andrew Scott, Teresa Mahoney, Richard Madden, Benedict Cumberbatch			UK, USA	Sam Mendes		Drama, War	tt8579674	movie		English	Two young British privates during the First World War are given an impossible mission: deliver a message deep in enemy territory that will stop 1,600 men, and one of the soldier's brothers, from walking straight into a deadly trap.	110 min	https://m.media-amazon.com/images/M/MV5BOTdmNTFjNDEtNzg0My00ZjkxLTg1ZDAtZTdkMDc2ZmFiNWQ1XkEyXkFqcGdeQXVyNTAzNzgwNTg@._V1_SX300.jpg	Universal Pictures			25 Dec 2019	Two young British privates during the First World War are given an impossible mission: deliver a message deep in enemy territory that will stop 1,600 men, and one of the soldier's brothers, from walking straight into a deadly trap.	MPKtM3fGJEU	Sam Mendes, Krysty Wilson-Cairns	550.0	146.0	0.0	6770.0	www.youtube.com/watch/MPKtM3fGJEU	602481.0
Queen	2019	151.0	Bakarhythm, Rika Izumi, Asami Mizukawa, Taishi Nakagawa			Japan				tt10263718	series		Japanese			https://m.media-amazon.com/images/M/MV5BNWIwZGEzODYtODliNC00ZWY1LWE4ZTMtMThlODlmNjhkMzM0XkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_SX300.jpg				10 Jan 2019	186134	CDnhh4NEi_U	501				0.0	www.youtube.com/watch/CDnhh4NEi_U	332.0
The Hunt	2019	153.0	Betty Gilpin, Emma Roberts, Justin Hartley, Ike Barinholtz			USA	Craig Zobel		Action, Horror, Thriller	tt8244784	movie		English	Plot details kept under wraps.		https://m.media-amazon.com/images/M/MV5BMGIwNTg5Y2MtYzExZS00MmU4LTgwY2MtMzI5ZTJkZmRmZmIyXkEyXkFqcGdeQXVyNjI4MDc1MzA@._V1_SX300.jpg				27 Sep 2019	Plot details kept under wraps.	x8IifEu67yU	Nick Cuse (Writer), Damon Lindelof	6096.0	7260.0	0.0	11919.0	www.youtube.com/watch/x8IifEu67yU	1573437.0
Scary Stories to Tell in the Dark	2019	108.0	Zoe Margaret Colletti, Michael Garza, Dean Norris, Gil Bellows			USA, Canada, China	André Øvredal		Horror, Mystery, Thriller	tt3387520	movie	18402.0	English	A group of teens face their fears in order to save their lives.	108 min	https://m.media-amazon.com/images/M/MV5BNjNiM2E3NDItNGU5NS00N2UwLTk2YWItZWRmMGFlNjJhYzE3XkEyXkFqcGdeQXVyOTQ5MTIwMjM@._V1_SX300.jpg	CBS Films and Lionsgate	PG-13	Internet Movie Database:6.4/10,Rotten Tomatoes:79%,Metacritic:61/100	09 Aug 2019	A group of teens face their fears in order to save their lives.	LLGdE7AjlBM	Dan Hageman (screenplay by), Kevin Hageman (screenplay by), Guillermo del Toro (screenplay), Marcus Dunstan (story by), Patrick Melton (story by), Alvin Schwartz (novel)	446.0	226.0	0.0	4667.0	www.youtube.com/watch/LLGdE7AjlBM	393122.0
Harriet	2019	160.0	Joe Alwyn, Jennifer Nettles, Cynthia Erivo, Janelle Monáe			USA	Kasi Lemmons		Biography, Drama, History	tt4648786	movie	219.0	English	The extraordinary tale of Harriet Tubman's escape from slavery and transformation into one of America's greatest heroes, whose courage, ingenuity, and tenacity freed hundreds of slaves and changed the course of history.	125 min	https://m.media-amazon.com/images/M/MV5BNmE1Y2JjMDEtZDAyOC00NjFiLWJlNjAtMjA3MDMzZGUxMDViXkEyXkFqcGdeQXVyMTA2MDQ3MTQ3._V1_SX300.jpg	Focus Features	PG-13	Internet Movie Database:5.7/10,Rotten Tomatoes:60%,Metacritic:63/100	01 Nov 2019	The extraordinary tale of Harriet Tubman's escape from slavery and transformation into one of America's greatest heroes, whose courage, ingenuity, and tenacity freed hundreds of slaves and changed the course of history.	osP9iJjvlAE	Gregory Allen Howard (screenplay by), Kasi Lemmons (screenplay by), Gregory Allen Howard (story by)	934.0	552.0	0.0	6034.0	www.youtube.com/watch/osP9iJjvlAE	228458.0
A Beautiful Day in the Neighborhood	2019	141.0	Tom Hanks, Christine Lahti, Matthew Rhys, Susan Kelechi Watson			USA, China	Marielle Heller		Biography, Drama	tt3224458	movie	306.0	English	Based on the true story of a real-life friendship between Fred Rogers and journalist Tom Junod.	108 min	https://m.media-amazon.com/images/M/MV5BZDM3MTAzYTUtYmFiYi00Yzg0LTk4NGMtYzNkYTkxOWI1YjZhXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg	Sony Pictures		Internet Movie Database:7.0/10,Metacritic:82/100	22 Nov 2019	Based on the true story of a real-life friendship between Fred Rogers and journalist Tom Junod.	XQw658a-8UQ	Micah Fitzerman-Blue, Noah Harpster	837.0	219.0	0.0	7564.0	www.youtube.com/watch/XQw658a-8UQ	309752.0
Cats	2019	153.0	Idris Elba, Taylor Swift, Rebel Wilson, Judi Dench			UK, USA	Tom Hooper		Animation, Comedy, Drama, Family, Fantasy, Musical	tt5697572	movie		English	A tribe of cats called the Jellicles must decide yearly which one will ascend to the Heaviside Layer and come back to a new Jellicle life.		https://m.media-amazon.com/images/M/MV5BNjRlNTY3MTAtOTViMS00ZjE5LTkwZGItMGYwNGQwMjg2NTEwXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_SX300.jpg				20 Dec 2019	A tribe of cats called the Jellicles must decide yearly which one will ascend to the Heaviside Layer and come back to a new Jellicle life.	gq50F-IDXDc	"T.S. Eliot (poetry collection ""Old Possum's Books of Practical Cats""), Lee Hall (screenplay), Tom Hooper (screenplay), Andrew Lloyd Webber (musical)"	42378.0	132440.0	0.0	46793.0	www.youtube.com/watch/gq50F-IDXDc	5622958.0
